dateTime,last,lastDateTime,volBid,volAsk,bid,ask,vol
1354464000000,1.29839,0,0,0,0,0,0
1354464060000,1.29856,0,0,0,0,0,0
1354464120000,1.29862,0,0,0,0,0,0
1354464180000,1.29921,0,0,0,0,0,0
1354464240000,1.29898,0,0,0,0,0,0
1354464300000,1.29880,0,0,0,0,0,0
1354464360000,1.29884,0,0,0,0,0,0
1354464420000,1.29900,0,0,0,0,0,0
1354464480000,1.29890,0,0,0,0,0,0
1354464540000,1.29903,0,0,0,0,0,0
1354464600000,1.29903,0,0,0,0,0,0
1354464660000,1.29921,0,0,0,0,0,0
1354464720000,1.29922,0,0,0,0,0,0
1354464780000,1.29929,0,0,0,0,0,0
1354464840000,1.29926,0,0,0,0,0,0
1354464900000,1.29928,0,0,0,0,0,0
1354464960000,1.29914,0,0,0,0,0,0
1354465020000,1.29913,0,0,0,0,0,0
1354465080000,1.29913,0,0,0,0,0,0
1354465140000,1.29912,0,0,0,0,0,0
1354465200000,1.29910,0,0,0,0,0,0
1354465260000,1.29909,0,0,0,0,0,0
1354465320000,1.29912,0,0,0,0,0,0
1354465380000,1.29929,0,0,0,0,0,0
1354465440000,1.29939,0,0,0,0,0,0
1354465500000,1.29938,0,0,0,0,0,0
1354465560000,1.29937,0,0,0,0,0,0
1354465680000,1.29927,0,0,0,0,0,0
1354465740000,1.29922,0,0,0,0,0,0
1354465800000,1.29915,0,0,0,0,0,0
1354465860000,1.29944,0,0,0,0,0,0
1354465920000,1.29933,0,0,0,0,0,0
1354465980000,1.29934,0,0,0,0,0,0
1354466040000,1.29935,0,0,0,0,0,0
1354466100000,1.29929,0,0,0,0,0,0
1354466160000,1.29919,0,0,0,0,0,0
1354466220000,1.29926,0,0,0,0,0,0
1354466280000,1.29924,0,0,0,0,0,0
1354466340000,1.29925,0,0,0,0,0,0
1354466400000,1.29919,0,0,0,0,0,0
1354466460000,1.29917,0,0,0,0,0,0
1354466520000,1.29911,0,0,0,0,0,0
1354466580000,1.29913,0,0,0,0,0,0
1354466640000,1.29915,0,0,0,0,0,0
1354466700000,1.29918,0,0,0,0,0,0
1354466760000,1.29917,0,0,0,0,0,0
1354466820000,1.29921,0,0,0,0,0,0
1354466880000,1.29922,0,0,0,0,0,0
1354466940000,1.29917,0,0,0,0,0,0
1354467000000,1.29951,0,0,0,0,0,0
1354467060000,1.29969,0,0,0,0,0,0
1354467120000,1.29958,0,0,0,0,0,0
1354467180000,1.29953,0,0,0,0,0,0
1354467240000,1.29951,0,0,0,0,0,0
1354467300000,1.29955,0,0,0,0,0,0
1354467360000,1.29944,0,0,0,0,0,0
1354467420000,1.29946,0,0,0,0,0,0
1354467480000,1.29958,0,0,0,0,0,0
1354467540000,1.29958,0,0,0,0,0,0
1354467600000,1.29944,0,0,0,0,0,0
1354467660000,1.29946,0,0,0,0,0,0
1354467720000,1.29946,0,0,0,0,0,0
1354467780000,1.29938,0,0,0,0,0,0
1354467840000,1.29953,0,0,0,0,0,0
1354467900000,1.29948,0,0,0,0,0,0
1354467960000,1.29954,0,0,0,0,0,0
1354468020000,1.29957,0,0,0,0,0,0
1354468080000,1.29971,0,0,0,0,0,0
1354468140000,1.29965,0,0,0,0,0,0
1354468200000,1.29965,0,0,0,0,0,0
1354468260000,1.29966,0,0,0,0,0,0
1354468320000,1.29969,0,0,0,0,0,0
1354468380000,1.29958,0,0,0,0,0,0
1354468440000,1.29957,0,0,0,0,0,0
1354468500000,1.29957,0,0,0,0,0,0
1354468560000,1.29956,0,0,0,0,0,0
1354468620000,1.29956,0,0,0,0,0,0
1354468680000,1.29956,0,0,0,0,0,0
1354468740000,1.29951,0,0,0,0,0,0
1354468800000,1.29936,0,0,0,0,0,0
1354468860000,1.29935,0,0,0,0,0,0
1354468920000,1.29915,0,0,0,0,0,0
1354468980000,1.29926,0,0,0,0,0,0
1354469040000,1.29920,0,0,0,0,0,0
1354469100000,1.29920,0,0,0,0,0,0
1354469160000,1.29920,0,0,0,0,0,0
1354469220000,1.29885,0,0,0,0,0,0
1354469280000,1.29903,0,0,0,0,0,0
1354469340000,1.29921,0,0,0,0,0,0
1354469400000,1.29892,0,0,0,0,0,0
1354469460000,1.29919,0,0,0,0,0,0
1354469520000,1.29918,0,0,0,0,0,0
1354469580000,1.29929,0,0,0,0,0,0
1354469640000,1.29961,0,0,0,0,0,0
1354469700000,1.29939,0,0,0,0,0,0
1354469760000,1.29940,0,0,0,0,0,0
1354469820000,1.29941,0,0,0,0,0,0
1354469880000,1.29946,0,0,0,0,0,0
1354469940000,1.29944,0,0,0,0,0,0
1354470000000,1.29938,0,0,0,0,0,0
1354470060000,1.29935,0,0,0,0,0,0
1354470120000,1.29933,0,0,0,0,0,0
1354470180000,1.29913,0,0,0,0,0,0
1354470240000,1.29938,0,0,0,0,0,0
1354470300000,1.29938,0,0,0,0,0,0
1354470360000,1.29944,0,0,0,0,0,0
1354470420000,1.29942,0,0,0,0,0,0
1354470480000,1.29944,0,0,0,0,0,0
1354470540000,1.29944,0,0,0,0,0,0
1354470600000,1.29935,0,0,0,0,0,0
1354470660000,1.29933,0,0,0,0,0,0
1354470720000,1.29940,0,0,0,0,0,0
1354470780000,1.29941,0,0,0,0,0,0
1354470840000,1.29951,0,0,0,0,0,0
1354470900000,1.29947,0,0,0,0,0,0
1354470960000,1.29954,0,0,0,0,0,0
1354471020000,1.29948,0,0,0,0,0,0
1354471080000,1.29948,0,0,0,0,0,0
1354471200000,1.29958,0,0,0,0,0,0
1354471260000,1.29962,0,0,0,0,0,0
1354471320000,1.29963,0,0,0,0,0,0
1354471380000,1.29985,0,0,0,0,0,0
1354471440000,1.29976,0,0,0,0,0,0
1354471500000,1.29966,0,0,0,0,0,0
1354471560000,1.29972,0,0,0,0,0,0
